feature,importances_mean,importances_std
returns,0.0180053435960863,0.006753605895531921
vol_roll_mean_10,0.016590985385524927,0.005151260948701767
rolling_volatility,0.005959954427307346,0.004780903377869846
volume_ma,0.002959872611330483,0.002180919848342364
volatility,0.0,0.0
obv,-0.00036489519434868,0.002349107697100672
atr,-0.0016751768803745515,0.0017629631987072048
vol_roll_max_10,-0.002357212787251428,0.0028737965940329882
macd_line,-0.002555508372493698,0.0013310362617069513
macd_v,-0.0026038614292063,0.0012951488969328744
signal_line,-0.0033863403238070023,0.0016719297130579527
macd_hist,-0.0049252818655467715,0.0031767984366499556
vol_roll_std_10,-0.005371734502262715,0.0021505315675845573
rsi,-0.007812934684853824,0.002457170445073675
roll_max_10,-0.00783044335139189,0.0020812138948243324
roll_std_10,-0.009374660297461524,0.005238260076540894
roll_mean_10,-0.010428766549242097,0.002507028446820491
vol_roll_min_10,-0.011458874833066934,0.008253633538625566
Volume,-0.01257565737719013,0.00993558300521425
Price,-0.019488241040083242,0.0035234524489904644
bb_lower,-0.021874278486436815,0.006102682763788237
bb_upper,-0.02220020136098897,0.004080534230570587
bb_mid,-0.02303703970045059,0.0035461575745762146
roll_min_10,-0.025454759795776893,0.003756796766225992
rvol,-0.04575309710413413,0.006316116445341659
momentum_ts,-0.06442399755191315,0.0188569415384428
